sn,responses,label
186,"Water bodies, very critical to protect from pollution",-1
187,Nice vision but practicality seems lacking... how are you going to move heavy polluting industries? Why not start with things like banning the heavily polluting buses and requiring all taxis and autos to run on cng.  Solar... ok but storage is more important. How about stopping the burning of leaves and garbage?  Heavy fines? Enforcement of existing laws?,-1
188,Should increase the green cover by planting more fruit bearing trees as it will help birds. Also water bodies must be protected and rain water harvesting made mandatory at specific layout level so as to make them serif sufficient for their water needs.,0
189,Proper information channel to let citizens know about these schemes to be provided. Also accountability to be transparent. Responsible person should be clear. So we can contact and get support and if they don't support what to be done next. Citizen should rate the work done by govt.,0
190,Car owners should have  a mandatory car parking space in the house/building planned,0
191,"Plans for the future housing solution look amazing, especially the sharing of 5% for EWS. But every house must ensure to have some environmental impact, on the good side though. What I mean to say is that buildings must be termed as green buildings by using green materials, etc etc",0
192,The maximum no of floor needs to be checked..and economic weaker sections must be identified correctly..the builders must get maximum punishment if they violate the conditions,0
193,Need to ensure there is no parking done in front of the houses. Start taking stringent action on all the 4 wheeler that are parked outside the premises. The city would look very clean and safer to commute.,0
194,Don't permit multi storey buildings without leaving the needed 5-6 feet open space around the buildings. Make it compulsory to leave enough open space and restrict too many buildings in small areas as the water from bore wells are dried up too quickly.,-1
195,All the building information like approval details etc should be made public on e-portal. This will help people.,0
196,"Who all are fall under general merit category and also for widows, EWS housing should reserve at least 16 to 21%.",-1
197,Lot of illegal constructions everywhere. Need to demolish illegal structures to widen the road. Make Strictly no parking on roads.  Make residents make their own parking arrangements.,-1
198,"While approving the new housing initiated by government or private should be after considering the water resources and safety of water Bodies. Bengaluru lost lot of lakes already, without water resources no human can live. Also the bbmp and bda authorities should Concentrate on the construction which should not have any deviation. Why the deviation should be allowed by authorities the approve with penalties?",-1
199,"Link BESCOM RR Nos. with PID Nos. of all Residential and Commercial buildings in Bangalore and any non payment of BBMP taxes for more than one year should result in disconnection of power supply to such buildings. This will improve Tax collection.  It is a well known fact to the Mayor, Chief Engineers and every bodu oin BBMP that more than 30 % of properties in Bangalore are not paying Taxes at all for the last more than 25 years. When",-1
200,"One of the major trends in recent construction is the rise of 'matchbox' style buildings that are painted in ugly 'vaastu' colours. Why can't there be a council for every ward in the city that consists of well educated urban planners under whose scrutiny, building plans are evaluated and better planned buildings with proper ventilation is built. Also, other things like rain water harvesting, solar exterior lighting and water heating systems must be encouraged to be included in building plans (although not mandatory, at least such councils must advise building owners to make room for future upgrades in this direction.)",-1
201,It is not at all futuristic.,-1
202,Higher FAR is the only solution to the growing needs of the city. The city can now grow only vertically as the empty land space for development is going to decline.We will  end up with no space for development in the future. We also have to provide proportionate lung space for the city. So vacant land is the key to future development.,-1
203,Not satisfied with the current hosing model followed,-1
204,Residential areas should be safeguarded,0
205,"high rises in Central business district should be stopped as it is creating more congestion and we dont have infrastructure to sustain the vertical growth. No more approval from high rises in centre of bangalore. We need to put a stop to our greed where we are harming ourself without understanding the consquences beneath it. So, city should expand in outskirts not in centre. ",-1
206,At present there is too much commercialization in residential areas. Too many shops and too little business. Hurts both residents as well as these commercial establishments. Clear demarcation for commercial activity should be made and commercial use in residential areas should be put down with iron hand. At present particularly in BDA formed layouts there is too much of commercialization as RWAs are non existent in BDA layouts.,-1
207,"In my opinion, Govt should restrict giving permission to multi story buildings. As more people residing in small area resulting in more traffic, more pollution, more water consumption, more garbage creation and more parking of vehicles problem.  At least should not give permission to apartments above 4th Floor. Only Ground + 3 floor can be allowed. It will be difficult to manage by any Govt. Already area within BBMP are overcrowded due to maximum multi storied buildings. No Kaveri water, No 24X7 power supply, No Drainage (UGD) and heavy traffic problem. Govt should plan to restrict population congestion within BBMP limits. Build more satellite townships with all the facilities to decongest  the city central areas.   ",-1
208,Allow big sky scrappers in this city.,1
209,Great,1
210,Housing is getting more and more expensive. Buying a house in Bangalore has nearly become impossible for a common man.,-1
211,"Bar commercial activity in residential zones. Bar massive trees in residential zones. (Huge trees belong in parks). Provide housing to corporate employees near work place(old idea - similar to PSU housing colonies-HMT,HAL,BEL,ITI)",-1
212,Please do not give permissions to bigger projects(6000 flats) if there is no good road accessbility.,0
213,only facts. what will u do to improve situations. sounds impossible,-1
214,Not clear how permission has been given to construct by destruction of nature be it lakes park's or forest area. This has to stop. Need to create more green cover for the city.,-1
215,Property registration is nightmare. There is no online process. All are dominates by agents. Need to have online way of registering alongwith some identifiers like Aadhar/PAN,-1
216,"EWS housing should be taken up as pure government work rather than involving private parties. Land acquisition from private developers by giving incentives is a good idea, but asking for a share of the flats for EWS is not so good, developers will be wary of doing that. For large scale developers the CSR initiative may be used and ask them to spend the CSR amount on EWS housing, Land should belong to Government and buildings made by developers. Similar to the initiative taken by the Police department years ago to build good quality police station through various developers. ",0
217,"People start living and building their own house even before the facilities are made available. License to build should be given only after all the facilities are completed, for which the betterment charges are levied. 
Any change or demolition should have the approval of the residents and neighbourhood. Better to have high rise buildings with a clear vacant space in between the buildings for landscaping and safety purposes, like approach for a fire tender. The dimensions could be decided by the competent persons . Multistorey building should be promoted as this would increase the lung space availability.",-1
218,All illegal Apartments those are blocked lake and rain water .,-1
219,What is the criterion for affordable housing is not clear. Nothing planned for people not looking for affordable housing?,0
220,"Bda is alloting plots in Kempegowda layout block 2 and its very clear from the master plan that the sites are falling under buffer area from lake/primary/secondary rajakaluve and violating ngt and bda's own terms. But assessing officers from bda are turning blind eye and claiming their allotments are legal. If the responsibile organisation itself is faltering like this, who else will follow the guidelines and also who will be responsible if the allotted sites run into issues because of this in future? THIS HAS ALREADY HAPPENED IN THE PAST AND YET NO INTENTION BY BDA TO CORRECT IT",-1
221,Expand city limits to ensure that more land is available for housing thereby reducing the stress on existing areas and bringing down cost of housing,0
222,There ia should be rules for renting houses. Owners charging too much and biggest concern is advance of 11 months.this is too much,-1
223,"Sounds really good, would love to see it implemented",1
224,"Get all of the property to be government owned. This removes corruption completely since not 1 person owns land. Then, lease land out to people who own for their life time. This in itself will remove a lot of the corruption and land grabbing that happens today and reduces the amount of effort spent in trying to recover it back.",0
225,"Reference is drawn to the proposed land use Map of revised Master Plan for 2031 for planning district 2, Indiranagar- Kagadaspura, where Domlur 2nd Stage is shown. The map does not show the BDA MIG flats as residential area (shown in white instead of yellow) and also does not include the service road adjacent to the flats. These flats and road are constructed by BDA.",0
226,All big residential apartments need to have a 80 ft road accessing the apartment. Each new construction to contribute to some land for road construction,0
227,Every building in Bangalore should be provided with mandatory parking area. No compromise to any citizen irrespective of power and positions. There should not be more than 6 to 9 flats in a building..,0
228,There are pockets where Housing is extremely expensive. And areas which have proper connectivity is really booming. the goons who have grabbed the Lake lands and other Illegal areas should be recovered by the government,-1
229,Car parking slot  dimensions has been increased in width from 2.5 m to 2.75m. When all new vehicles are coming with much better maneuverability and tighter turning radii. this puts a requirement for additional area to be constructed in parking basements and MLCPs and affects the column planning grids negatively and causes the unnecessary construction of additional floor area for a given count of parking. 2.5m width is an internationally accepted standard.,-1
230,"Currently the new housing layout's are not up to planned cities in other parts of India. We need to provide enough space to infrastructure like Roads, public utility, (thinking 50 years ahead), sports facilities for the young generation and open space to grow trees and waste water management.",-1
231,Proper town planning needs to be maintained.,0
232,"# 46/C, Sai Krupa, Fair Field Layout, Race Course Road, Bengaluru - 0, we are residing in this layout for last 25 years and all of a sudden you have made this layout as commercial zone which is highly unacceptable and objectable, we request you kindly consider the above layout as residential zone.",-1
233,I check all house the House construction plan and Tender BDA approve plan is totally different. This should be stop and bring there notice.,-1
234,I think the plan is a good start. But I think we need to be more ambitious and think out of the box on housing.,1
235,"Housing layouts should be provided with adequate transportation feeder services. 
Neighbourhood planning should be considered. Waste management should begin at this level. 
This section does not seem to be viable... seems like trying to dump responsibility without any study...  It would be better for certain locations across the city to be identified as government housing for EWS. 
and the government invests in maintaining these to adequate standards. Instead of making blanket statements like all government land will be used for EWS housing. 

neighbourhood security and cctv cover to be improved ",-1
236,every house/township/apartment newly build should be mandated to plant minimum 5 times the tress destroyed in that area. Because all plants planted might now grow so if it is planted in higher number 30% of it will grow.,0
237,Water bodies encroachment should be reversed and all the land should be taken  back,0
238,Dissolve BDA and BBMP permanently.,-1
239,"some places which were residential in old CDP have changed to other like semi public, or park without any reason even after they have been converted from agriculutur. ",-1
240,"Many existing roads have not been shown.I have seen Planning Districts 1 & 2 and have seen many existing roads not shown.It appears that due diligence has not been followed.In Planning District 1,portions of  earlier Residential (Main) are shown as ""Unclassified"".These were originally(in CDP) shown as Residential and have not changed in any way.But in RMP 2031 Draft they are shown as Unclassified.The same blunder is being made again and again reflecting the laxity in preparing the Existing Land Use Map.If this is incorrect then how can the Proposed Land Use Map make sense?",-1
241,Please don’t allow commercial activities in purely resedential areas in the Name of mixed use . All bye lanes of Koramangala and indiranagar have already been spoiled . HSR layout is next in line,-1
242,"Got an unique plan for Namma Bengaluru to go vertical! No need to revise the CDP for every 15years, without completing 80% of work! 
My plan is for 100years and complete the whole CDP on ground reality (Work done within 5years.) With no loss for land lords and profitable for Government!!! More over it would be a study model for developed western countries!!!!!!
To know more fix up a meet with Mr. CM, BDA Chairman & BDA Commissioner. 
With warm regards
Syed Hassan Naazir Abedi
+91 9620463836
Email: naazirabedi@gmail.com",0
243,"All major roads footpaths in residential roads are occupied by vendors and hawkers, which hinders the smooth movement of public on footpaths. My request is to earmark specific open areas for vendors and hawkers for their trade and make free footpath for movement of public",-1
244,"BDA it self is violating green belt norms, added to that even after development is allowed in Green belt still May shows in green which is ridiculous,... secondly BDA plan states 100ft road for certain areas in 2015 plan, but its not implemented... master plan has last its value, its a wasteful expenditure exercise... ",-1
245,In plan the roads are passing through the apartments without proper planning,-1
246,Large parts of HSR Layout is already used mainly for highly commercial activities e.g the full stretch of 17th Cross Road. But the plan does not recognise this. It would be better to designate all sites on such roads as permitted for commercial activities to minimise corruption.,-1
247,"On ground reality and the plan does not match. It looks certain that the planning team never visited locations and made plans sitting in the office with out getting real time situation.
The tragic traffic situation in Bangalore is haphazard approval or unauthorised development of SMALL scale residential layouts and apartment complexes.
At least one the areas planned for residential purposes should be in a mega scale like PRIVATE CLUSTER OF LANDS AND WHOLESOME PLANNING OF HUDREDS OF ACRES IN A PLANNED TOWNSHIP AND ACCESSABILITY. DO NOT PERMIT  A FEW ACRES FOR PIECE MEAL DEVELOPMENT AND CONSOLIDATE HUNDREDS OR EVEN THOSANDS OF ACRES IN TO ONE TOWNSHIP PLANNING.
LIKE WHO EVER PLANNED JAYANAGAR N JP NAGAR ROAD FRON SOUTH END CIRCLE TO BANASHANKARI_SILK BOARD ROAD, 30 YEARS AGO.",-1
248,"Need to reduce the mixed use of land. Meaning, BDA need to separate the commercial versus residential areas.",-1
249,"The city needs more lungs. There are places like Ramamurthy nagar which has no park. Every inch is covered by buildings. Buildings jutting into the foot paths. , no place for children to play, or adults to walk. The foot paths are in terrible state . with gaps opening into drainage, vendors blocking the foot paths completely.The city is choking and all of us , Bangaloreans feel our health is deteriorating because of the over crowding and all other things that follow mushrooming of buildings. ",-1
250,"Please make a rule that all new buildings constructed in Bangalore especially in crowded areas, market places, Highways etc to strictly and compulsorily make provisions for public toilets inside their building to be maintained by BBMP. The area of the Toilet should be not less than 200 Sft. BBMP will provide extra FAR for the area of the toilet of double the same For EX. if toilet area is 200 sft, Builder gets increase in FAR of say 400 to 500 sft which can be added to the building in any Floor.",-1
251,Government should stop approving Big Apartments and Tech parks construction where already the traffic and population density is high.,0
252,Land marked in RMP 2015 as residential use is marked as transport use in RMP 2031,0
253,"it sounds great but we need to awarer of the land using as if there is no tomorrow 
try planting as much as tree , like  at the traffic signals,bus stops and the area where people roam around more. We can always take this forward without even seeing it as a huge step.",0
254,"Not maintained, not used or maintained for the specific purpose. Most of the land encroached or dumped the garbage.",-1
255,Land aqusation for roads not satisfied,-1
256,"For any approval for any building, one need to see whether its leaving the space for greenery or not, Waste management in place or not, Rain water harvesting is there or not. Few of them are already in place but not followed religiously, More stringent actions are needed to implement it. Green cover & trees on any house premises should be must.  ",0
257,Hi,0
258,"Where is Tumkur Road in the plan!!!There is so much abundance of land and also it's connected by metro and good roads.Now the metro being built till international exhibition centre there is connectivity for industries to be set up there.Also NICE road being attached is added advantage.Kindly do not overcrowd Bengaluru along Hosur Road,Bellary Road and sarjapura road",-1
259,Please allow big sky scrappers in this city. this will save land and allow to create big parks. But these buildings should be earthquake proof for a eathquake as powerful as 8.5 on Richter scale.,0
260,"Illegal constructions and constructing buildings very close to each other is resulting in less water. For every building, there should be at least one tree planted.",-1
261,"Residential buildings within Survey #77 are being shown as being either on the Chikkalasandra lake or in the buffer zone. This is a big change from previous bda master plan, where they were shown as legitimate residential buildings. Please rectify this error.",-1
262,Everyday new vehicles are causing parking hazards while the number of no parking boards increase. Why no solution for these things? Let me suggest you - please utilise manekshaw parade grounds and the outer part of chinnaswamy stadium for parking. Also you may discuss with school authorities of schools with huge playgrounds to allow parking between 6 pm to 10 pm. This will not affect the school's daily activities and solve parking problems. Thanks,-1
263,"Some area like chokasandra village, which is around 2 km from Sarjapura main Road should have been considered for yellow zone since there are good schools and other facilities so that people can build houses and leave peacefully from the city.  ",0
264,Ok. But use more land for growing trees. Make Bangalore airial view prior to 1991.,0
265,"CA sites are not properly marked as public/semi public sites at HMT Layout R T Nagar, HMT Layout is not marked as Visvesvaraya Nagar (V V Nagar) a slum is named as Visvesvarayanagar",0
266,"Land use in residential area unclear. Most of residential is thickly commercialized.   No breathing space ,no peace, no security of life. ",-1
267,"Lake boundaries buffer zone in not possible in developed areas
",-1
268,Our Objections on  Heritage Aspects are as per enclosed pdf (also available online at  bit.ly/RMP31HeritageInputs ),-1
269,"Footpath should be for pedestrians, not for hawkers.",-1
270,"If land use is given prime concern like alloting the right proportions for housing,green cover,roadways,garbage and sewage management etc. then automatically so many issues are taken care of.",0
271,I have noticed that the sy no for which BDA has issued NOC for conversion of land from agriculture to residential purpose and the DC has already converted the sy no to residential purpose based on the NOC issued by BDA have been changed to Public and semi public with out issuing Notices land owners regarding the same,-1
272,This is pretty neat. Well thought out. Hope the implementation is taken up with same vigor as the green buffer mostly gets occupies illegally. There needs to be a punishable law to take action against those who occupy green belts illegally.,1
273,"BDA needs to hear that its method of 'planning' begins with a faulty premise: that it writes a draft plan and then asks for inputs. A metropolitan city's municipal corporation, public services agencies, planning agency must have enough of a budget to foster citizen direction (not 'inclusion', we are not serfs) to all the sectors (environment, education, health, etc) listed at the start of this document. Planning includes discrading, halting, capping, recognising limits and adjusting behaviours to those limits. BDA has made none of these possible.",-1
274,Encroachment of lands by builders which are lakes or water bodies creates water shortage and decreases ground water level.,-1
275,"There is NO consensus taken from public and there is NO awareness about CDP 2031. The NGT increased the Buffer zone to 70 mts for all lakes in bangalore. NGT is referring to maps which are based on 1905 British survey. most of these lakes have dried up in 1970's and 1980's and there is no source of any water in these lakes left. BDA has converted these lakes and areas around lakes for residential use to be sold to public. now what is the point of looking at old non-existent lakes. NGT should do a current survey to outline current lakes and try to save them instead. It is duty of BDA to protect the rights of public who have legally purchased the sites based on their life savings and have being pay property tax regularly. If the CDP is approved most of the areas around lakes will lose it's value, BDA should look to compensate to public via its market value as many people have already constructed houses in this areas. BDA should deal this matter very delicately otherwise it will be a catastrophe for all bangaloreans and it will destroy 1/3 bangalore. people will not trust and invest in bangalore anymore.  ",-1
276,Survey #77 at Chikkalasandra is now in buffer zone which is huge deviation from previous plan,-1
277,Footpaths are encroached all over the city. Build barriers for vehicles  to enter footpaths. Food vendors have taken up Whitefield foot paths totally. I have raised complains like 6 times. Complain was closed without doing anything. Food vendors dirty the place and throw garbage on footpaths and roads. Chances of pedestrians meeting accident due to vehicular movement on roads.,-1
278,"Stop any further urbanization, ask government to leverage other cities, stop migration of people , if continue to allow any more building , city will die due shortage of water, road, air, ",-1
279,"Plot no. 2 in LIC Colony, Jivan Bima Nagar is marked as Post Office. the post office already exists in the earmarked area.. Also Kittur Rani Chennamma park exists is a small corner.. this whole area is the only Green area in the colony and is surrounded by 30 feet roads.. by keeping it as public utility spaces, you are creating additional traffic and footfalls in an already crowded colony.. Also there is no other playground/park for a 1 km surrounding and this is the only lungspace available for the colony residents.. Do not trade the lung space and environment of the colony for noise polluting concrete jungles and spoil the lives of the citizens around.. ",-1
280,"The village yellow zone limits has to be increased by actual as the development has been more in that area
",0
281,"Sir please take out buffer zone near lake as our plots will have no value and we had bought in 2002 and if you add 75mts around the lake our resale market value of the plots will become zero value
Area chikkalsandra lake ",0
282,"Poor land use, illegal occupation by the powerful and Corrupt and an extremely unhealthy situation is created in the city.",-1
283,"The city is already extremely densely populated, we need to expand the municipal boundaries by at least 15 kms in all directions so that more areas open up to development ",-1
284,"Objection to widening of Borewell Road, Whitefield 
Our homes will be destroyed with any further road widening.  We are senior citizens and built/ bought these homes as our retirement homes.  Also, with earlier road widening, we have already lost 8-10 feet of land and boundary walls, trees and garden for which we were never compensated.  Also, no authority has acknowledged this loss or taken responsibility.  The government needs to protect its citizens who are regular taxpayers and abide by rules and regulations.  
We’re already too close to the road and are now suffering from air and noise pollution, which has lead to skin, respiratory diseases, allergies and further hearing loss.
KnP Sridharan, 244 Borewell Road, Whitefield, Bangalore 560066",-1
285,"Existing parks in Defence Colony, PD 2, have not been marked correctly. These are the senior citizen's park (4th cross, 4th main) and the small playground adjacent to the 6th main maidan on the link road. These are parks/grounds currently and needs to be corrected and recognised as parks in the 2031 plan instead of as residential.",-1
286,Rajakaluve buffer zone is too much. And should maintain the old buffer zone... People buy sites by all hard earned money..why BDA gives approval for such areas.  So its can't be changed just like that.,-1
287,Great,1
288,Shift the industries and software parks with in central city limits. This will make people move to city outskirts for housing needs there by decongestion in the central city. I don't understand how can NDA give permission to open software parks in main city and expect traffic to reduce and nearby already cramped neighborhood to be in livable conditions. Please use land near Nelamagala so that city can grow towards other cities and help the locals maximum rather developing areas near Karanataka border. It's very disappointing to know that Nelamagala area has never been considered for industrial parks though the access to new airport is much better compared to other areas.,-1
289,Redefine category of commercial property. Should a Kirana store be considered as commercial property? Residential areas will have small stores which is essential for the community. Increase use of mixed purpose use of property.,0
290,Encroachments have to be tackled aggressively.,-1
291,"While division of districts for specific use is a good Idea, however considering people move around in from various parts of the city for work specific spaces should be allocated within each district/location for common multi level parkings, and feeder transport provided from that point.

As an example, AECS Layout Brookefiled has a significant space allocated to government offices like Bangalore one, Corporator  office and others. This land should be converted as a Multi level parking cum Bus Stand cum Government offices. All nationalised banks, Nationalised Insurance and other such government and semi government services should be encouraged to have offices there. 

Ground floor can be Bus-Bay, Basement can be Food court,  3-4 floors for parking and rest for offices. The is similar to the Multi use bus stand built in many part of Bangalore, but needs to be replicated on a smaller scale in other places as well.

Feeder transport in form of electric buses, shared taxies and Hire a bike services should also be made available for people to be able to move around in those areas for shopping and other chores. Pavements should be well maintained for people who may want to walk. 
",0
292,Proposed compensation for existing structures is not fair. There should be compensation in correctness to the market value. Any unfair comp would be not add value to the master plan of making Bangalore better by cheating people.,-1
293,"Tech parks, apartments, multi-level houses, business operations in residential areas - the list is endless. Bangalore will be doomed in no time with such pathetic planning and random approvals of everything. There is no limitations enforced. The outer ring road is a pure mess with a plethora of tech parks coming up every single day. Where is the infrastructure to handle these new tech parks? An average sized tech park can easily increase traffic by adding about 3000-5000 vehicles on the outer ring road road. That's not even considering the service vehicles, buses and cabs!",-1
294,4.22 % of land  for parks and open spaces and 3.84 % for water bodies and streams is negligible compared to areas allowed for other units like transport and communication. Looks like our future generation will have not good air to breath and enough ground water.,-1
295,Reduced FAR is against public interest,-1
296,"During 1995, Bangalore was city of Parks, Gardens, Lakes. By 2018 unfortunately it has be come polluted cement and traffic city. We should use afforestation and restore greenery of Bangalore. One way to make space in existing land, is by political intervention, convert single story homes spread out in a layout to multi-story building and use the space which gets created for planting trees. It will take a strong political will and discussion with residents to bring about this change. City should be designed to support a population of 4-5 million people in 1000 km square. We are (as of 2018) 8.4 million in 700 km square. We should develop sisters cities such as Tumkur and Ramanagar instead of over populating Bangalore. Whether it is pollution, traffic, the root cause of the problem is Population! Whenever an apartment or mall is constructed, area on which trees should be planted should be indicated and made sure of by BDA/BBMP. Bangalore should have world class roads - not pot hole roads. Please request big companies with track records of creating great infrastructure such as L&T and HCC to build roads for Bangalore.",-1
297,"BOREWELL ROAD, WHITEFIELD SHOULD NOT BE WIDENED AGAIN
1) We are senior citizens who have already lost over 8 -10 feet of land and boundary walls (2005) that had to be rebuilt at our own expense.  Todate, no authority has made the effort to compensate us or recognise the seizure of our lands.

2) due to the above, our houses are dangerously close to the road - air and noise pollution that has lead to ailments such as allergies, skin and respiratory diseases and greater loss of hearing.

3) last but equally important, our homes will be destroyed when further widening happens.  These are our homes built with hard earned money for our lifetime.  Where are we to go?  These periodical threats have made us feel very insecure in our sunset years.

We are responsible taxpayers and law abiding citizens.   Similarly, we expect the government to protect our interests before they consider such ‘developmental’ plans.
Khurshid Balsara, 265 Borewell Road, Whitefield, Bangalore 560066",-1
298,Good,1
299,Great Initiative by BDA,1
300,Parking of vehicles on small roads 25 feet should be made on one/single side only to allow free movement of vehicles,-1
301,"Please include checks and balances in place ( i.e accountability) to make sure that is will be completed ,tested and approved within the given deadline.Also move the deadline to 2025 instead of 2031 to complete work in phases",-1
302,"Promote Bus transportation than private vehicle, More buses with proper cleaniliness and allow only passengers depends available seats like other coutry, Adopt GPS tracking for all busses so that passengers can plan ",0
303,"There should be analyzing committee to upgrade this plan based on changing needs which i dont see it here. It is needed because by the time this plan is approved there will be Some development and plan might need update.Plan with dates has to be put up. There should be a clear plan of when this plan will be approved, when each work will start and when each will close. ",-1
304,"PEDESTRIAN MOBILITY must be designed and implemented in all traffic infrastructure. Policing a must at ward/BBMP level. Traffic rules enforcement is not to place cops for fine collection but save lives. Scientifically designed footpaths, pedestrian crossings, pedestrian traffic signals, zebra crossing, skywalks, long-skywalks from public transport transit points a MUST. Please collaborate with Israel/Japan/ Germany/ Singapore for design and have a profit-sharing model using public pedestrian works towards generating revenue for the city.
",-1
305,"Master plan 2015 is not implemented it is mandatory to implement previous version
",-1
306,The plan is good coz Bengaluru is a lovely place to be in i'm a bengalurian by birth and I'm proud of my city. Traffic during these transition must be managed properly.,0
307,"All the above are the big plans which we all know will not kick off. If you really want to do any change seriously, we can give you better solutions. All you need is to implement the present rules strictly. BTP even though doing a great job, there is a long way to go which is not being taken seriously. Ask me for solutions and i can give easy ways to ease the traffic problems. At the first place we need to ease the traffic problems and then think of eradicating it.
Some sample suggesstions: 
1) Uturn Management: where ever there is a uturn , the traffic is held up by rouge cab drivers occcupying all the lanes to take the u turn. All we need to do is setup a barricade  not to let them take that u turn unless they are in the right lane for it. 
2) Bus bays: We need to create bus bays whereever they are not there. Using bus bays avoids the blockages by the BMTC buses near the bus stops.
3) Usage of Bus Bays: We are glad that we have bus bays in some areas. Unfortunately  none of the BMTC drivers use them. They fell that it is their right to block the road. Hosnetly if you set right the BMTC drivers by teaching them some road manners, 20% of Bangalore traffic issues will be resolved. Especially the Volvo drivers, just because they have a high end bus, they feel like they own the road.
4) Foot paths: Foot paths should be cleared of all the encroachments. Especially near the bus stops. 

ETC ETC. A normal engineer working in Bangalore can give multiple suggesstions to de congest the city. Some dedication to implement them is all is needed.",-1
308,"While no of buses will be increased there does not seem to be mention of any priority lanes which promote smoother movement of public vehicles as compared to private cars. Multi-modal concept is missing, which will promote people to easily switch between modes of transport including last mile connectivity using auto/2W.",-1
309,"Bangalore is unique in the sense that it has so many one way roads. Suddenly, on one fine day, the road gets converted to one way. What about building bridges? What about building underpasses/overpasses for pedestrians crossing on these ring roads? What's the plan to unclog major residential areas such as Hennur, Indira nagar, koramangala, Marathahalli which are seeing increasing traffic congestions? Why can't we impose no entry for big commercial vehicles?",-1
310,Make smooth dust free widened road for bangalore as per population growth.Pathetic plans need to be reviewed,-1
311,Please have wider roads and dont allow vehicles to be parked on main/service roads.,0
312,Planning of road every thing should change I have a plan,-1
313,"Answer to the plan is :  the prevailing traffic conditions are NOT new. This pathetic condition has been there for years. if the authorities really want to do something, forget 2031. please please take steps to regulate traffic and fix the roads NOW, not next year, not in 2031, not in 2050. NOW.  by 2031 there will be no companies or jobs left in bangalore due to the pathetic infrastructure we have. People would prefer migrating to a different state where they can provide better infrastructure. Driving 2 hours to cover 7 kms is the state of roads and traffic we are in now and we are planning for 2031 ????  when the authorities couldn't solve issues all these years, what will they do in 2031? so, all this master plan seems so fake... and there is no substance in this. sorry. ",-1
314,if it implemented in time matters more.,0
315,"The earliar CDP has not been implemeted with respect to Road widening, and you change in the new CDP you have made broder just to harass without sintific approach and practically seeing the situation of the roads proposed width and where it statrs and ends.",-1
316,"- Nothing mentioned on the types of buses. Will the current buses be upgrated? They are a nightmare in terms of pollution, danger to travelers and other riders, and roads. 

 - Can we look at a card system for public transports such as bus and metro like Singapore or Paris? Reduces the need for a conductor and more convenient for users and there is absolutely no need to carry change!",-1
317,"Overall development plan looks good. But still oriented towards meeting the traffic density. The focus on reducing personal vehicle usage has to be made more clear. Cycle lanes, share transport has to be addressed clearly. Also the BMTC has to become more tech and introduce smaller buses instead big body buses .  Parking has to be made more clear and city to generate more revenue from parking. ",0
318,"pls make Good roads wide roads ,and also nice transport system like suburban train.",0
319,Basic facilities needs to be proper,-1
320,"Problem: Main problem is BMTC stops on main roads. They stop anywhere and do rash driving.
Suggestion: Construct nice bus stops every 5km with bicycle to rent. No stop of BMTC bus every few meters on main road.
Strictly follow lane rules
Better to have seperate road oy for BMTC bus. ",-1
321,Maximum road are in Bangalore 80 to 100 Feets only. In respect of population increased in Bangalore development is zero.,-1
322,Join the remaining part of nice road to reduce the the traffic flow in City.,0
323,There needs to be more focus on existing infrastructiure,0
324,Any new residential or commercial development needs to have traffic assessment done and approved. Approvals should consider infrastructure to accommodate new traffic generated by development and if infrastructure can handle it. Capability of the development to accommodate parking within itself should also be given prime importance.,0
325,"Road quality has to be ensured when giving contracts to contractors . All agencies like BWSSB, BBMP, KPTCL, traffic police , Namma metro have to work together to ensure newly laid roads are not digged . There should be ban of minimum 18 months once a road is relaid . This should ensure better coordination among these agencies .",0
326,"Please expedite Metro/Tram/SkyRail/Pods projects to improve reliable long distance public commute by studying effecting implementation in other developing cities like Bangkok and Singapore. Have strict enforcement of traffic rules by using technology. Make using public transport convenient by using selfcheckin kiosks using unified payment cards and having vending machines for same, for all means of transport. Design traffic with essentials on the way like parks, hospitals, schools etc so that everyone uses public transport for such amenities. ",-1
327,Auto should run on sharing basis only and no private auto. Stop to stop sharing auto like Kolkata.,-1
328,"(1) Like most cities in the world and now New Delhi, the metro and Bus must use pre-loaded smart cards for seamless travel. (2) Also Metro terminals must have seamless integration with Railway stations for ease of movement. Byiappanahlli must become a new Bengaluru east terminal and the (3) Bus terminal built next to it must be become operational for outstations buses. (4) Buses must not stop at the base of flyovers or bridges causing inconvenience to commuters and potential accidents.",-1
329,Make railway Line along outermosy ring road. This is very cost effective,0
330,I am concerned about all the new construction and whether it will cause more traffic than is already there. BBMP has to find a way to do that somehow.,-1
331,"Metro needs to connect KIAL, Cantt station, ITPL and KR Puram",-1
332,"The issue for our population is maintaining the cleanliness of all of these facilities, namely footpaths and cycle paths. ",0
333,"A well implementation of discipline will help a better commuting. 
1. Strict enforcement of traffic laws.
2. Parking/ No Parking Zones defined should be strictly controlled.
3. Enforce people to follow lanes strictly
4. Make roadside parking only with payment to BDA/ BBMP
5. Promote paid parking in areas where sufficient parking spaces are not available. Provide expert agencies to handle paid parking.
6. Traffic violators should be tracked - both vehicle number and licence number.
7. Recommend to increase the insurance premium in the subsequent premium payment for violators.

Implementation of these international rules will improve the journey speed.",-1
334,Focus on smart and efficient public transport will encourage people to not bring their cars on the road. So focus must be on that.,0
